标注人_0,标注人_1,appid,序号,url,title,desc,0_场景,1_场景,0_行业,1_行业
zxw,myy,73ddb37a-8943-4298-8e53-efd19625a0f7,1201,http://www.rabbitpre.com/m/mzNQuMuq1,北京招募快递点部副经理,够牛你就来！只要你肯，梦想从来不卑微！,招聘,招聘,物流,物流
zxw,myy,8d9f76eb-d810-4677-bfde-30a4973ba227,1202,http://www.rabbitpre.com/m/EJ3VZZvaN,我是第{{count}}位参加此次点击的用户,现代生态循环农业标准操作流程整体解决方案提供商。,产品推广,产品推广,广告,农业
zxw,myy,e2b942f1-0c6e-418d-9383-731a44c12895,1203,http://www.rabbitpre.com/m/YRuMm7eUp,腾讯 小小Q陪伴你过圣诞,Merry Christmas 你还在等什么？整个冬天有我（Qrobot）陪伴你。,产品推广,产品推广,工具软件,其它3C产品
zxw,myy,ac809a36-0f04-4c98-bde2-f4dbcf115cdf,1204,http://www.rabbitpre.com/m/6eUfaM2zd,全域旅游慢生活圈,话山画水慢生活圈是一种真正的生活方式，是您乡下的家。扫码关注，让我们一起回家,产品推广,产品推广,实业平台,旅游
zxw,myy,50c361ad-c39e-4158-8d58-de05feea908a,1205,http://www.rabbitpre.com/m/7ZvARzB,2016•恒润机械 ——招聘启事,湛江市恒润机械有限公司,招聘,招聘,机械制造,机械制造
zxw,myy,2f513b82-425f-4f69-9d9f-6aa995df0611,1206,http://www.rabbitpre.com/m/EBZb6rT,天津红日药业代理商登记,,招商,招商,医药用品,医药用品
zxw,myy,c4e32dc8-cb77-40c1-be92-bdb59cf7f35c,1207,http://www.rabbitpre.com/m/ey7m7AIf0,五星礼仪讲师--做“礼”的传播者,如果你想要成为一名礼仪讲师，就得下决心像讲师一样去思考、感受及行动，最后你就会成为一名真正的礼仪讲师,产品推广,产品推广,特长或素质培训,商业经验技能培训
zxw,myy,ca6bb744-2416-4003-9191-461c45bd7533,1208,http://www.rabbitpre.com/m/aMfeiad,♬ 寻新疆最美的雪中胡杨，美！美！美！,,心灵鸡汤,事务性通知/科普,无行业,无行业
zxw,myy,20d0f032-819e-41a7-b664-ffd1756fc8ad,1209,http://www.rabbitpre.com/m/JJnqI3L,金证股份2017校园招聘,金证股份2016校园招聘！金空浩瀚，风华证茂，互联金融等你来！,招聘,招聘,工具软件,互联网金融
zxw,myy,40cbe2bd-0ce4-4f5e-848f-fa116e5f18c3,1210,http://www.rabbitpre.com/m/BjYRjyH,10.12福建,,产品推广,产品推广,购物中心,零售渠道
zxw,myy,6d41d7e0-7c18-403d-84ef-d0c44e89be3a,1211,http://www.rabbitpre.com/m/U3VBIn7Y,"性与命,说得真好!","性与命,说得真好!",心灵鸡汤,心灵鸡汤,无行业,无行业
zxw,myy,daca5ecd-7d03-4956-b370-3a4e7d4f90f1,1212,http://www.rabbitpre.com/m/riz7mFReD,舌尖上的美食——超凡（沈阳北行）美食班儿,美食班儿定于12月12-13日，提供家常菜、面食、甜点、无烟油炸类食品、披萨、西点等美食体验教学体验培训，欢迎各位热爱美食的大家们前来体验。,产品推广,产品推广,商业经验技能培训,特长或素质培训
zxw,myy,e9f9c0f0-dfbf-4850-bca7-380fbe9fa9e5,1213,http://www.rabbitpre.com/m/rERYfMQAT,招聘-福建土楼自然博物馆,等你来挑战,招聘,招聘,政府综合服务,文娱
zxw,myy,e09731ec-0873-4f6f-9a1f-137a4d31e247,1214,http://www.rabbitpre.com/m/ANbqii6,百万红包送送送！,"天子温泉贺新年，百万红包大派送，十二项主题活动""乐""动""泉""城，无需购票，邀您免费参加",节日祝福,产品推广,度假,度假
zxw,myy,0cee8c60-2428-474c-b258-594c1b3ae106,1215,http://www.rabbitpre.com/m/BV3UBrC,天青色等雨，而我在等你  大陈乡村旅游创客联盟招募队员,永康人的“丽江小镇”正在筹备中，现公开招募有思想，有创意的店主加入我们！,招商,招募,度假,旅游
zxw,myy,45656485-5c1f-400a-82b1-d8155c3e4a91,1216,http://www.rabbitpre.com/m/beyemex,大连新玛特15周年庆典,9月7日大连新玛特15周年庆典,年会/庆典,年会/庆典,购物中心,购物中心
