appid,title,url,desc,场景_zxw,行业_zxw,场景_myy,行业_myy,场景_tml,行业_tml,场景_zz,行业_zz,场景_ljh,行业_ljh
c0cd7955-faac-4258-8bda-40da56dae6f4,苏州滨特尔水处理招聘信息,http://www.rabbitpre.com/m/qaqqyb6Ah,欢迎各位推荐或应聘!,,,招聘,机械制造,,,招聘,机械制造,,
4125ecf0-0f10-424f-9fa3-6e3c55e7f300,尿裤使用宝典/贝兹乐集团,http://www.rabbitpre.com/m/jjjbir6Qt,英国国际贝兹乐集团旗下品牌：贝儿适、片片爱、贝兹乐，高档纸尿裤、尿片、拉拉裤,,,产品推广,母婴用品,,,产品推广,母婴用品,,
2f4e4401-4a10-437b-8fde-45d8f1a5dad6,招募晚期胃癌患者,http://www.rabbitpre.com/m/nmMZfm7,我院正在开展一项治疗晚期胃癌患者的临床研究，新药名称是盐酸安罗替尼胶囊。,,,招募,医疗,,,招募,医疗,,
ec0f58ac-6eff-4f8f-8d75-dbfeabbcfddf,e修鸽城市合伙人虚位以待,http://www.rabbitpre.com/m/FjY3mmO,比开超市投入更少，更简单，更赚钱的项目,,,招聘,家装建材,,,招商,家装建材,,
53d0d41a-6470-43bc-884e-800e2ef5085d,全新一代奥迪A4L深圳上市邀请函,http://www.rabbitpre.com/m/vyiQf2i,新车耀世，强势进驻。科技盛宴，未来启航！,,,产品推广,汽车,,,产品推广,汽车,,
58a60a0f-1d27-4e3a-bbb8-9dcbc3caeb01,校园之“星”招募令  I Want You!,http://www.rabbitpre.com/m/VfyNeM2bI,诚聘英才！欢迎广大优秀在校大学生前来应聘，我们将公平对待，择优录取。,,,招聘,内容平台,,,招聘,内容平台,,
6d18b794-ec2e-49b8-adb0-c7f3bb0d903e,云里智能园,http://www.rabbitpre.com/m/U3zF3Fv6K,云里智能园,,,产品推广,商业地产,,,招商,商业地产,,
9361c898-7291-45f5-a7e2-75adb0aecc73,布丁S-儿童成长陪伴智能机器人,http://www.rabbitpre.com/m/EZfijFn7n,能说会教的神奇小伙伴，专为儿童设计，集智能对话、儿童教育、习惯培养等功能于一身的智能机器人。,,,产品推广,3C产品,,,产品推广,3C产品,,
27ce77a4-e467-4990-8ed0-f4e84dc7045f,启航班掠影,http://www.rabbitpre.com/m/mVBuEJZvg,启航班掠影,,,团队展示/团建,建筑业,,,产品推广,建筑业,,
d6996f4e-b42a-40b2-9b9a-1b73f85d288f,10张图告诉你加入大都游艇会的理由！,http://www.rabbitpre.com/m/VfijVRu6v,大都海上运动，一起玩转海洋！,,,产品推广,运动健身,,,产品推广,度假,,
53d1209b-da37-448d-af12-daa717f19381,战隼一出，谁与争锋！,http://www.rabbitpre.com/m/MR7fime,放在手心，丈量世界。我虽身巧，志在高远。,,,产品推广,艺术品古董,,,产品推广,艺术品古董,,
7a68cf41-e0f5-45a2-b56f-c799bb632970,【高薪诚聘优秀博后】,http://www.rabbitpre.com/m/RQAAIfMY1,国家“杰青”“千人”、浙大求是特聘教授欧阳宏伟课题组招聘优秀博士后，待遇从优，期待你的加入！,,,招聘,科研,,,招聘,医疗,,
d53769a3-03c0-44cf-89bd-bba3b3182300,景仁馅饼,http://www.rabbitpre.com/m/Bb6biub, 走进景仁,,,产品推广,粮油副食,,,产品推广,餐饮,,
ef185342-321c-4119-92be-0fb21846e8aa,隆金宝招聘--we want you!,http://www.rabbitpre.com/m/AzIRnme,有才你就来！我们在寻找才华横溢，怀揣梦想的战友。,,,招聘,互联网金融,,,招聘,其它各种金融（待分）,,
02c4401d-51a2-4715-b06d-65a1a6b47733,清原木海明玥庄园暑期活动邀请函,http://www.rabbitpre.com/m/qEvUvqh,清原木海明玥庄园暑期活动方案。,,,产品推广,特长或素质培训,,,招商,教育培训,,
1b1af83d-3d1d-46ae-9900-75a2991dd858,《翼纪元》第24话 父亲,http://www.rabbitpre.com/m/qQFRnqA,,,,个人其它,无行业,,,个人其他,,,
838aadf1-82a3-40fa-b43e-f179ea9d3e29,神州神领头羊模式,http://www.rabbitpre.com/m/bUvibayzd,半天领头羊模式，做小会您值得选择！,,,招商,奶制品,,,产品推广,奶制品,,
88b4c57b-3b04-4f6c-a4b6-7a5427375ce0,我是第{{count}}位向维和一线的真正男子汉致敬的人,http://www.rabbitpre.com/m/YBIBAQmbe,面对牺牲，不要问他们为什么还要去维和！他们只知道：出去，就代表着中国。,,,心灵鸡汤,无行业,,,心灵鸡汤,,,
9dd5264a-348d-4fbf-9fda-28c5f84e61e8,哈雷电动感谢您的推广，领取推广奬请点击进入！w,http://www.rabbitpre.com/m/vqyaMvJ,领取后24小时内到账,,,产品推广,非机动车,,,产品推广,汽车,,
6e32d09b-bd8e-4f40-ac80-fd7291e28b47,汉庭连锁酒店牟平振华商厦店专属优惠,http://www.rabbitpre.com/m/ZvMQQ2jNb,汉庭酒店与蜂巢工作室联合推出年度最强优惠赶快享受吧！,,,产品推广,酒店,,,产品推广,酒店,,
82d0678c-0699-4463-bab4-a102f654ebaf,久九电商联盟,http://www.rabbitpre.com/m/zueqeaZ,久九电商联盟微信公众号：jiujiutao999,,,招聘,电商,,,招聘,电商,,
