标注人_0,标注人_1,appid,序号,url,title,desc,0_场景,1_场景,0_行业,1_行业,,,,,,
ljh,myy,d37f6280-67b5-4e56-9adf-96270a5ab4d5,801,www.rabbitpre.com/m/M7fURjG,【公布名单】iphone 6S、油卡和行车记录仪，今天来领！,错过今日，只能明年！,产品推广,产品推广,保险,汽车服务,,,,,,
ljh,myy,34672864-8830-49d9-bf61-453446291b22,802,www.rabbitpre.com/m/77j2ea8,宝应盛大“郎牌特曲”第二届钓鱼邀请函,,体育竞赛,体育竞赛,无行业,酒,,,,,,
ljh,myy,a7699569-f0f3-41ba-be11-00ccbacfb566,803,www.rabbitpre.com/m/3r6IJZfq0,赛车票,珠澳双城送赛车票,体育竞赛,体育竞赛,无行业,运动健身,,,,,,
ljh,myy,2306577a-39e7-429a-8cb2-5bc30c9dd79b,804,www.rabbitpre.com/m/aaEfijb6C,锦艺国际轻纺城春节期间封场管理事项,,事务性通知/科普,事务性通知/科普,家纺,贸易批发,家纺,,,,,
ljh,myy,d8d35249-72f4-4ac6-829a-5d10dcca3371,805,www.rabbitpre.com/m/ZReMuUnN1,OPPO超级体验店-落户通州,150平米超大互动体验区！OPPO超级体验店落户通州新城核心商务区！,开业,产品推广,手机,手机,,,,,,
ljh,myy,cde74961-860f-4aab-9e9c-d334c46d5106,806,www.rabbitpre.com/m/rqaybi7A6,快来看！快来看！艾佰佳窗帘重装开业，钜惠全城！,开业价就是出厂价！,开业,产品推广,产品推广,家纺,家居软饰,家居软饰,,,,
ljh,myy,a114886d-2949-43ec-8e01-85bd832c78e5,807,www.rabbitpre.com/m/FJnzr6mz1,创新金融与智能风控发展趋势论坛,创新金融与智能风控发展趋势论坛，10月25日即将拉开帷幕 ，欢迎各位莅临！！！,行业论坛,行业论坛,其它金融服务（待分）,互联网金融,,,,,,
ljh,myy,64685504-0a99-41a4-9744-7f7fde97e98d,808,www.rabbitpre.com/m/NbAva2K,农易-资中特产,资中地处四川盆地中部，东邻东兴区和安岳县，南接威远县，西连仁寿县，北靠资阳市。,产品推广,产品推广,粮油副食,休闲食品,生鲜水果,粮油副食,休闲食品,,,
ljh,myy,63fc5126-5a4a-4d40-afc9-05601e3ab9d2,809,www.rabbitpre.com/m/6vy6Vrq,职工疗休养报名,重庆：8/22-8/27       粤东巽寮湾：8/22-8/27 腾冲：8/7-8/12,团队展示/团建,团队展示/团建,医疗,旅游,,,,,,
ljh,myy,63433b53-2f96-4392-bef7-36d8809bc4ae,810,www.rabbitpre.com/m/ZZvqqizV5,一言不合就送钱，100%现金派！,有钱有免单，有爱有福利，壹房东真金白银实时大派送，来相爱吧,产品推广,产品推广,实业平台,地产中介,地产中介,,,,,
ljh,myy,bb3e7ae4-cd2d-4529-b83c-d598280b8475,811,www.rabbitpre.com/m/3EveY3G,【大牌大聚惠】激情十月，为您约惠,10月22日与您相约京湖大酒店，激情十月，为您约惠，活动热线：7181519,产品推广,产品推广,家装建材,家电,家装建材,,,,,
ljh,myy,e9ed05fc-34c1-4d62-ae20-47c81a5af9a7,812,www.rabbitpre.com/m/2jjVv6eUX,你想去阿里巴巴吗？快参加阿里巴巴寻梦之旅吧！,,产品推广,产品推广,工具软件,电商,,,,,,
ljh,myy,da52e879-2226-4663-940e-9ce96b58142a,818,www.rabbitpre.com/m/ybE37Quy6,进口食品折扣店开业啦！,不出国门，尽享世界美食！,开业,产品推广,产品推广,休闲食品,零售渠道,休闲食品,酒,奶制品,软饮料,
ljh,myy,c6ac8983-5c30-41d6-b2b7-dad6fe66d836,822,www.rabbitpre.com/m/ZBrq2qo,迎中秋，百信药店开业大酬宾！,,开业,产品推广,产品推广,医药用品,医药用品,,,,,
ljh,myy,6a4fb2cc-4b77-4beb-8f0a-2e9c0cac7410,823,www.rabbitpre.com/m/3UjqQjp,吉林市博物馆展览邀请函,,博物/艺术展,博物/艺术展,无行业,文娱,,,,,,
ljh,myy,7bedee36-dbc5-46f0-af78-e137493b0212,825,www.rabbitpre.com/m/fYVjymg,不苟同于平凡的力量！,诚信为邦，诚善兴邦,产品推广,产品推广,咨询,地产中介,商业地产,咨询,,,,
ljh,myy,0d8f0996-99d6-4e09-be1d-04fa7c178e8b,829,www.rabbitpre.com/m/aUBQ2riFl,鸿图伟业资产管理有限公司,招聘：电话销售、网络销售、销售代表、分析师。,招聘,招聘,咨询,理财,,,,,,
ljh,myy,579af17d-ddd0-4ac2-b511-874bf5a4e6cf,833,www.rabbitpre.com/m/MIv6YvyjM,休闲旅游哪里去，藏马山国际旅游度假区！,藏马山一日游发车喽~每周六、日发车！快乐畅游藏马山，轻松舒适一整天！,产品推广,产品推广,度假,旅游,,,,,,
ljh,myy,63e2e0b8-e715-41e2-a4bf-14456d5ee63a,836,www.rabbitpre.com/m/7BRJ3qH,凤凰之星·少儿才艺大赛全省启动仪式暨官方新闻发布会邀请函,6月18日，凤凰之星将在广州增城1978创意园举行新闻发布会，诚邀您莅临参与指导。,艺术竞赛,艺术竞赛,无行业,政府综合服务,,,,,,
ljh,myy,599a127f-300b-4b0a-9c11-70ff8cd9701c,838,www.rabbitpre.com/m/rYzUBfA,"""新三峡十大旅游新景观""特别推荐—忠县三峡港湾国际旅游度假区","""新三峡十大旅游新景观""特别推荐——忠县三峡港湾国际旅游度假",产品推广,产品推广,旅游,度假,,,,,,
ljh,myy,b6cfa06b-18f7-4e71-a969-a9d5bf835b81,840,www.rabbitpre.com/m/MQmzrijzB,李海不锈钢,致力于不锈钢加工、制作、安装等服务。承接门窗、橱柜、楼梯扶手等不锈钢产品的制作加工。,产品推广,产品推广,家装建材,材料,,,,,,
ljh,myy,1c71622e-e3af-410d-8fef-d865044b210d,841,www.rabbitpre.com/m/3iAbmul,《丙申年》特种邮票首发仪式邀请函,首发仪式邀请函 诚邀您的参与,产品推广,产品推广,邮政,艺术品古董,,,,,,
ljh,myy,f1eeaad2-c057-4b8a-95bc-a7a9429c17c3,842,www.rabbitpre.com/m/FRmNmFBus,祥瑞金台 · 幸福城区春节元宵节系列文化活动,春节用户答谢,节日祝福,事务性通知/科普,政府综合服务,政府综合服务,,,,,,
ljh,myy,315ef314-9d49-4a3f-bbfe-71d46edc0475,845,www.rabbitpre.com/m/UZZrmmN,深圳经建投资有限公司招聘丨招兵买马,实习生？给自己一次机会！！,招聘,招聘,其它金融服务（待分）,理财,,,,,,
ljh,myy,8fe52af2-8081-49a0-b0b2-b670088b11f8,846,www.rabbitpre.com/m/VF3q63y,重庆工行首发 邮币双绝福字币超值套装,币王+邮王完美组合 先抢先得,产品推广,产品推广,邮政,银行,,,,,,
ljh,myy,b7d2e717-566b-4b8c-94f0-5cef9a2756fc,847,www.rabbitpre.com/m/BmNuaaEJq,郑州“百花杯”少儿舞蹈大赛,郑州最具专业性的少儿舞蹈比赛,艺术竞赛,艺术竞赛,无行业,运动健身,,,,,,
ljh,myy,2ff3a4f9-0173-4bf7-a3bc-44666051ff23,848,www.rabbitpre.com/m/3Er6rmF,优信3.0 全新升级,3.0为爱上线，我们在优课优信，等你！,产品推广,产品推广,工具软件,内容平台,,,,,,
ljh,myy,cb6376f1-6838-4c13-a723-9b781f27c73f,849,www.rabbitpre.com/m/BbimMvD,广州北汽绅宝德能4S店新车震撼登场,现场超级大豪礼大放送，8月27日13:00—16:00于广园东·东方名都等你来领！,产品推广,产品推广,汽车,汽车服务,,,,,,
ljh,myy,bf2b5706-d8e3-4a0f-9478-c75021512d5b,850,www.rabbitpre.com/m/yyyayiK,中山国税2016年奋战营改增试点工作纪实,2016年全面推开营改增的日与夜，坚守在每个岗位的身与心……,政府事务,数据报告,政府综合服务,政府综合服务,,,,,,
ljh,myy,566555a4-dc70-40be-80e7-88c010cf8232,851,www.rabbitpre.com/m/MnUbq2v,见过开放的，没见过这么开放的！,就是这么开放！你敢来试吗？,招商,招商,实业平台,电商,酒,,,,,
ljh,myy,1cb6950e-27a6-4a21-9f58-72e9d7c2796d,855,www.rabbitpre.com/m/7QAQIZ3VA,2016“体彩杯”中国巴彦淖尔全球友好城市华人篮球邀请赛,,体育竞赛,体育竞赛,无行业,政府综合服务,,,,,,
ljh,myy,ba125c4c-25a9-422a-8ca7-228e22dba369,856,www.rabbitpre.com/m/Bb6zQv9,AiSleep睡眠博士,浙江丝里伯成立于2007年，是一家以人工智能开发睡眠系统为基础，提供睡眠改善整体解决方案的供应商。,产品推广,产品推广,家纺,其它3C产品,,,,,,
ljh,myy,821bfccd-9f29-4ac4-8abe-6ff09469d483,857,www.rabbitpre.com/m/YBQAeqqiv,晋商消费金融北京运营中心招聘啦！！加入我们月薪轻松过万！！,,招聘,招聘,其它金融服务（待分）,互联网金融,,,,,,
ljh,myy,486eba22-db3b-4bd9-a3df-d28039fbb829,858,www.rabbitpre.com/m/6e6YvUnFq,译夫朗格法式甜品,开业庆典 邀请函,开业,产品推广,开业,餐饮,餐饮,,,,,
ljh,myy,ba512f82-3f11-4cb3-970c-e0c00322bc4d,861,www.rabbitpre.com/m/veam6rx,4K英雄帖,4K高清电视，视觉梦幻开启的地方。,产品推广,产品推广,通信,家电,,,,,,
ljh,myy,489cf452-52e3-404a-a418-0af1bfb50c52,867,www.rabbitpre.com/m/Mm7eaai7a,祝天下所有的老师：教师节快乐,爱老师，就转发给老师看,节日祝福,心灵鸡汤,无行业,无行业,,,,,,
ljh,myy,76ee5213-d94e-4e4a-852d-63c907683742,870,www.rabbitpre.com/m/N3A3mqf,新春到，大拜年！,亲爱的家人们，三八妇乐众生系统各体系领导人拜年啦！,节日祝福,节日祝福,保健品/OTC,无行业,,,,,,
ljh,myy,dd9f826a-da47-4adc-b256-b4e78a9733ed,872,www.rabbitpre.com/m/QmFBmriFb,谢谢你的每一天，每一次，每一票~,亲，好想让你陪我一起去旅行！,产品推广,产品推广,住宅,旅游,旅游,,,,,
ljh,myy,98e20fcd-5d8b-4cdb-b7b8-053107404121,873,www.rabbitpre.com/m/eM2NmVZn2,"周大生珠宝元月一日盛大开业,千金一诺,一饰铭记","周大生珠宝开业期间,八重惊喜等你来,幸运抽大奖,苹果手机,洗衣机等幸运大奖等着你........",开业,产品推广,产品推广,珠宝,珠宝,,,,,
ljh,myy,5978ff73-b009-4384-aee1-b2d855015908,874,www.rabbitpre.com/m/ammeArY,亲友认购会，错过再等一年！,昌邑全福元霞飞、百雀羚气韵品牌春季员工亲友认购会,产品推广,产品推广,美妆,护肤,护肤,美妆,,,,
ljh,myy,0cf2aa7b-1c8a-45c1-86ae-7058442a33c4,875,www.rabbitpre.com/m/mFJJBmVZk,托马斯·费因斯坦个展“灵赋”电子邀请函,E-invitation of PSYCHOPROSA by Thomas Feuerstein,博物/艺术展,产品推广,无行业,设计,,,,,,
